repository name,Source,Explananation,Other,WHEN IS MALICIOUS CODE EXECUTED?,Objective
github.com/boltdb-go/bolt,https://socket.dev/blog/malicious-package-exploits-go-module-proxy-caching-for-persistence,Abackdoor that connects to an obfuscated C2 server and executes attacker-supplied shell commands,,execution time when calling Open() function,Command Execution
github.com/illdieanyway/golang-random-ip-ssh-bruteforce,https://socket.dev/blog/malicious-go-module-disguised-as-ssh-brute-forcer-exfiltrates-credentials,"A brute-forcer that does as intended, but if it succeeds also sends the details to a telegram bot controlled by the creator",Contact for the creator that seems like a cheat developer or something. https://www.youtube.com/@AngelsTogether/videos https://t.me/vovaputins,execution time in brute_force function,Information Stealing
github.com/stripedconsu/linker,https://socket.dev/blog/11-malicious-go-packages-distribute-obfuscated-remote-payloads,"At runtime the code silently spawns a shell, pulls a second-stage payload from command and control (C2) endpoints. Observed second-stage ELF and PE binaries enumerate host information, read browser data, and beacon outbound. Obfuscated using seemingly random array and calling indexes from it.",,initialization time from global variable,Command Execution
github.com/agitatedleopa/stm,https://socket.dev/blog/11-malicious-go-packages-distribute-obfuscated-remote-payloads,"At runtime the code silently spawns a shell, pulls a second-stage payload from command and control (C2) endpoints. Observed second-stage ELF and PE binaries enumerate host information, read browser data, and beacon outbound. Obfuscated using seemingly random array and calling indexes from it.",,initialization time from global variable,Command Execution
github.com/expertsandba/opt,https://socket.dev/blog/11-malicious-go-packages-distribute-obfuscated-remote-payloads,"At runtime the code silently spawns a shell, pulls a second-stage payload from command and control (C2) endpoints. Observed second-stage ELF and PE binaries enumerate host information, read browser data, and beacon outbound. Obfuscated using seemingly random array and calling indexes from it.",,initialization time from global variable,Command Execution
github.com/wetteepee/hcloud-ip-floater,https://socket.dev/blog/11-malicious-go-packages-distribute-obfuscated-remote-payloads,"At runtime the code silently spawns a shell, pulls a second-stage payload from command and control (C2) endpoints. Observed second-stage ELF and PE binaries enumerate host information, read browser data, and beacon outbound. Obfuscated using seemingly random array and calling indexes from it.",,initialization time from global variable,Command Execution
github.com/weightycine/replika,https://socket.dev/blog/11-malicious-go-packages-distribute-obfuscated-remote-payloads,"At runtime the code silently spawns a shell, pulls a second-stage payload from command and control (C2) endpoints. Observed second-stage ELF and PE binaries enumerate host information, read browser data, and beacon outbound. Obfuscated using seemingly random array and calling indexes from it.",,initialization time from global variable,Command Execution
github.com/ordinarymea/tnsr_ids,https://socket.dev/blog/11-malicious-go-packages-distribute-obfuscated-remote-payloads,"At runtime the code silently spawns a shell, pulls a second-stage payload from command and control (C2) endpoints. Observed second-stage ELF and PE binaries enumerate host information, read browser data, and beacon outbound. Obfuscated using seemingly random array and calling indexes from it.",,initialization time from global variable,Command Execution
github.com/cavernouskina/mcp-go,https://socket.dev/blog/11-malicious-go-packages-distribute-obfuscated-remote-payloads,"At runtime the code silently spawns a shell, pulls a second-stage payload from command and control (C2) endpoints. Observed second-stage ELF and PE binaries enumerate host information, read browser data, and beacon outbound. Obfuscated using seemingly random array and calling indexes from it.",,initialization time from global variable,Command Execution
github.com/lastnymph/gouid,https://socket.dev/blog/11-malicious-go-packages-distribute-obfuscated-remote-payloads,"At runtime the code silently spawns a shell, pulls a second-stage payload from command and control (C2) endpoints. Observed second-stage ELF and PE binaries enumerate host information, read browser data, and beacon outbound. Obfuscated using seemingly random array and calling indexes from it.",,initialization time from global variable,Command Execution
github.com/sinfulsky/gouid,https://socket.dev/blog/11-malicious-go-packages-distribute-obfuscated-remote-payloads,"At runtime the code silently spawns a shell, pulls a second-stage payload from command and control (C2) endpoints. Observed second-stage ELF and PE binaries enumerate host information, read browser data, and beacon outbound. Obfuscated using seemingly random array and calling indexes from it.",,initialization time from global variable,Command Execution
github.com/briefinitia/gouid,https://socket.dev/blog/11-malicious-go-packages-distribute-obfuscated-remote-payloads,"At runtime the code silently spawns a shell, pulls a second-stage payload from command and control (C2) endpoints. Observed second-stage ELF and PE binaries enumerate host information, read browser data, and beacon outbound. Obfuscated using seemingly random array and calling indexes from it.",,initialization time from global variable,Command Execution
github.com/shallowmulti/hypert,https://socket.dev/blog/typosquatted-go-packages-deliver-malware-loader,"At runtime the code silently spawns a shell, pulls a second-stage payload from command and control (C2) endpoints. Observed second-stage ELF and PE binaries enumerate host information, read browser data, and beacon outbound. Obfuscated using seemingly random array and calling indexes from it.",,initialization time from global variable,Command Execution
github.com/shadowybulk/hypert,https://socket.dev/blog/typosquatted-go-packages-deliver-malware-loader,"At runtime the code silently spawns a shell, pulls a second-stage payload from command and control (C2) endpoints. Observed second-stage ELF and PE binaries enumerate host information, read browser data, and beacon outbound. Obfuscated using seemingly random array and calling indexes from it.",,initialization time from global variable,Command Execution
github.com/belatedplanet/hypert,https://socket.dev/blog/typosquatted-go-packages-deliver-malware-loader,"At runtime the code silently spawns a shell, pulls a second-stage payload from command and control (C2) endpoints. Observed second-stage ELF and PE binaries enumerate host information, read browser data, and beacon outbound. Obfuscated using seemingly random array and calling indexes from it.",,initialization time from global variable,Command Execution
github.com/thankfulmai/hypert,https://socket.dev/blog/typosquatted-go-packages-deliver-malware-loader,"At runtime the code silently spawns a shell, pulls a second-stage payload from command and control (C2) endpoints. Observed second-stage ELF and PE binaries enumerate host information, read browser data, and beacon outbound. Obfuscated using seemingly random array and calling indexes from it.",,initialization time from global variable,Command Execution
github.com/vainreboot/layout,https://socket.dev/blog/typosquatted-go-packages-deliver-malware-loader,"At runtime the code silently spawns a shell, pulls a second-stage payload from command and control (C2) endpoints. Observed second-stage ELF and PE binaries enumerate host information, read browser data, and beacon outbound. Obfuscated using seemingly random array and calling indexes from it.",,initialization time from global variable,Command Execution
github.com/ornatedoctrin/layout,https://socket.dev/blog/typosquatted-go-packages-deliver-malware-loader,"At runtime the code silently spawns a shell, pulls a second-stage payload from command and control (C2) endpoints. Observed second-stage ELF and PE binaries enumerate host information, read browser data, and beacon outbound. Obfuscated using seemingly random array and calling indexes from it.",,initialization time from global variable,Command Execution
github.com/utilizedsun/layout,https://socket.dev/blog/typosquatted-go-packages-deliver-malware-loader,"At runtime the code silently spawns a shell, pulls a second-stage payload from command and control (C2) endpoints. Observed second-stage ELF and PE binaries enumerate host information, read browser data, and beacon outbound. Obfuscated using seemingly random array and calling indexes from it.",,initialization time from global variable,Command Execution
github.com/truthfulpharm/prototransform,https://socket.dev/blog/wget-to-wipeout-malicious-go-modules-fetch-destructive-payload,"At runtime the code silently spawns a shell, pulls a second-stage payload from command and control (C2) endpoints. Observed second-stage ELF and PE binaries enumerate host information, read browser data, and beacon outbound. Obfuscated using seemingly random array and calling indexes from it.",,initialization time from global variable,Command Execution
github.com/blankloggia/go-mcp,https://socket.dev/blog/wget-to-wipeout-malicious-go-modules-fetch-destructive-payload,"At runtime the code silently spawns a shell, pulls a second-stage payload from command and control (C2) endpoints. Observed second-stage ELF and PE binaries enumerate host information, read browser data, and beacon outbound. Obfuscated using seemingly random array and calling indexes from it.",,initialization time from global variable,Command Execution
github.com/steelpoor/tlsproxy,https://socket.dev/blog/wget-to-wipeout-malicious-go-modules-fetch-destructive-payload,"At runtime the code silently spawns a shell, pulls a second-stage payload from command and control (C2) endpoints. Observed second-stage ELF and PE binaries enumerate host information, read browser data, and beacon outbound. Obfuscated using seemingly random array and calling indexes from it.",,initialization time from global variable,Command Execution
github.com/qiiniu/qmgo,https://about.gitlab.com/blog/gitlab-catches-mongodb-go-module-supply-chain-attack/,In multiple steps download a Go binary that establishes remote access.,,Execution time in NewClient function,Command Execution
github.com/qiniiu/qmgo,https://about.gitlab.com/blog/gitlab-catches-mongodb-go-module-supply-chain-attack/,In multiple steps download a Go binary that establishes remote access.,,Execution time in NewClient function,Command Execution
